127.0.0.1 - - [20/Nov/2019:14:29:58 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:03 +0900] "GET /std_1st/ HTTP/1.1" 200 43906
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/revolution/css/settings.css HTTP/1.1" 200 29789
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/css/plugins/plugins.css HTTP/1.1" 200 304988
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/revolution/css/layers.css HTTP/1.1" 200 146597
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/cubeportfolio/css/cubeportfolio.min.css HTTP/1.1" 200 83755
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/css/style.css HTTP/1.1" 200 98761
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/revolution/css/navigation.css HTTP/1.1" 200 59576
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/assets/dist/css/style.css HTTP/1.1" 200 28055
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/images/bg1.jpg HTTP/1.1" 200 1205012
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/images/logo.png HTTP/1.1" 200 8281
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/images/bg2.png HTTP/1.1" 200 2249941
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:04 +0900] "GET /std_1st/images/video/Busy-People.jpg HTTP/1.1" 200 244705
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:05 +0900] "GET /std_1st/images/masonry/meet.jpg HTTP/1.1" 200 37159
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:05 +0900] "GET /std_1st/images/masonry/study.jpg HTTP/1.1" 200 65132
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:05 +0900] "GET /std_1st/bower_components/themify-icons/fonts/themify.eot? HTTP/1.1" 200 78748
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:05 +0900] "GET /et-line-font/fonts/et-line.eot? HTTP/1.1" 404 1153
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:05 +0900] "GET /std_1st/et-line-font/fonts/et-line.eot? HTTP/1.1" 200 32694
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:05 +0900] "GET /themify-icons/fonts/themify.eot? HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:05 +0900] "GET /std_1st/bower_components/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
