127.0.0.1 - - [04/Dec/2019:20:36:45 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/ HTTP/1.1" 200 43906
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/css/plugins/plugins.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/revolution/css/layers.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/revolution/css/settings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/revolution/css/navigation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/cubeportfolio/css/cubeportfolio.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/assets/dist/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/images/bg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:47 +0900] "GET /std_1st/images/video/Busy-People.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:48 +0900] "GET /std_1st/images/bg2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/ HTTP/1.1" 200 43906
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/revolution/css/settings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/css/plugins/plugins.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/revolution/css/layers.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/cubeportfolio/css/cubeportfolio.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/revolution/css/navigation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/assets/dist/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/images/bg2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/images/video/Busy-People.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/images/bg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/images/masonry/meet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/images/masonry/study.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/js/plugins/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/js/assan.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/revolution/js/jquery.themepunch.revolution.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/cubeportfolio/js/jquery.cubeportfolio.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/revolution/js/jquery.themepunch.tools.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:37:01 +0900] "GET /std_1st/revolution/js/extensions/revolution.extension.kenburn.min.js HTTP/1.1" 304 -
